Analysis,Component name,Id numeric,Result text,Result type,Result value
D_OXIDABIL,Oxidabilidad al Permanganato,168360,1.52,N,1.520
WMM-LM-CAM,Cloro total,168360,0.5,N,0.500
WMM-LM-CAM,Cloro libre,168360,0.4,N,0.400
WMM-LM-CAM,Cloro combinado,168360,.1,N,0.100
TEST-NH4,Amonio,168360,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168360,47.2,N,47.160
PE-IL-COND,Conductividad en campo,168360,799,N,799.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168360,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168360,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168360,0,N,0.000
D_TURBIDEZ,Turbidez,168360,0.75,N,0.750
D_POT_IONI,NITRITOS,168360,<0.05,N,0.050
D_POT_IONI,NITRATOS,168360,5.53,N,5.530
D_POT_IONI,FLUORUROS,168360,0.15,N,0.150
D_POT_IONI,CLORUROS,168360,68.92,N,68.920
D_PH,pH,168360,7.7,N,7.700
D_CONDUCT,Conductividad a 20 ºC,168361,260,N,260.000
WMM-LM-CAM,Cloro total,168361,0.2,N,0.200
WMM-LM-CAM,Cloro combinado,168361,.1,N,0.100
TEST-NH4,Amonio,168361,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168361,14.7,N,14.710
PE-IL-COND,Conductividad en campo,168361,312,N,312.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168361,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168361,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168361,0,N,0.000
D_TURBIDEZ,Turbidez,168361,<0.20,N,0.170
D_POT_IONI,NITRITOS,168361,<0.05,N,0.050
D_POT_IONI,NITRATOS,168361,2.63,N,2.630
D_POT_IONI,FLUORUROS,168361,0.95,N,0.950
D_POT_IONI,CLORUROS,168361,15.52,N,15.520
D_PH,pH,168361,7.9,N,7.930
D_OXIDABIL,Oxidabilidad al Permanganato,168361,1.28,N,1.280
WMM-LM-CAM,Cloro libre,168361,0.1,N,0.100
M-013-AC1,Recuento de Enterococos intestinales,168362,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168362,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168362,0,N,0.000
PE-IL-COND,Conductividad en campo,168362,285,N,285.000
SULF-IONIC,SULFATOS,168362,14.9,N,14.900
TEST-NH4,Amonio,168362,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168362,.1,N,0.100
WMM-LM-CAM,Cloro libre,168362,0.2,N,0.200
WMM-LM-CAM,Cloro total,168362,0.3,N,0.300
D_CONDUCT,Conductividad a 20 ºC,168362,260,N,260.000
D_OXIDABIL,Oxidabilidad al Permanganato,168362,1.92,N,1.920
D_PH,pH,168362,7.7,N,7.710
D_POT_IONI,CLORUROS,168362,13.59,N,13.590
D_POT_IONI,FLUORUROS,168362,0.92,N,0.920
D_POT_IONI,NITRATOS,168362,5.18,N,5.180
