Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    233785","20/05/2024                                                                                                                                                                                                                                ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                "," Fecha fin de los ensayos               ","agua duplicado                "
"    233785","<1.0                                                                                                                                                                                                                                      ","     0.560","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Plomo total                             ","agua duplicado                "
"    233785","<1.0                                                                                                                                                                                                                                      ","     0.090","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Antimonio total                         ","agua duplicado                "
"    233785","<1.5                                                                                                                                                                                                                                      ","     0.010","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cadmio total                            ","agua duplicado                "
"    233785","<1.0                                                                                                                                                                                                                                      ","     0.200","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Selenio total                           ","agua duplicado                "
"    233785","<1.0                                                                                                                                                                                                                                      ","     0.420","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Arsénico total                          ","agua duplicado                "
"    233785","<50.0                                                                                                                                                                                                                                     ","    14.950","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cobre total                             ","agua duplicado                "
"    233785","<5.0                                                                                                                                                                                                                                      ","     0.580","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Niquel total                            ","agua duplicado                "
"    233785","17.8                                                                                                                                                                                                                                      ","    17.790","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Hierro total                            ","agua duplicado                "
"    233785","<2.5                                                                                                                                                                                                                                      ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Bromato                                 ","agua duplicado                "
"    233785","<0.3                                                                                                                                                                                                                                      ","     0.060","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Clorato                                 ","agua duplicado                "
"    233785","<10.0                                                                                                                                                                                                                                     ","     0.730","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Manganeso total                         ","agua duplicado                "
"    233785","<10.0                                                                                                                                                                                                                                     ","     0.180","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cromo total                             ","agua duplicado                "
"    233785","<0.3                                                                                                                                                                                                                                      ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Clorito                                 ","agua duplicado                "
"    233785","<0.15                                                                                                                                                                                                                                     ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Amonio                                  ","agua duplicado                "
"    233785","18.5                                                                                                                                                                                                                                      ","    18.490","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Sulfatos                                ","agua duplicado                "
